"","hue","value","chroma","r","g","b"
"1","10B",1,1,0.0860102329347946,0.116553205163044,0.139467909179803
"2","10B",1,2,0.0572606462860213,0.118958796320557,0.162874981752335
"3","10B",1,3,0.0137980660674445,0.121292821213073,0.185201480928441
"4","10B",1,4,0,0.123551592995067,0.206921918622918
"5","10B",1,5,0,0.125764773213387,0.228478779348497
"6","10B",1,6,0,0.128045162177681,0.250523347694493
"7","10B",1,7,0,0.130547858742803,0.273790138279319
"8","10B",1,8,0,0.13326090026971,0.29837640090871
"9","10B",1,9,0,0.136083134704678,0.324066896185595
"10","10B",1,10,0,0.138903258342743,0.350613658289159
"11","10B",2,1,0.171043580566094,0.197645170934884,0.218230383371806
"12","10B",2,2,0.145541012143351,0.200640342882003,0.242256074491942
"13","10B",2,3,0.11238099026694,0.203583740354201,0.266186127069352
"14","10B",2,4,0.061824370860384,0.206491426069496,0.290283150256947
"15","10B",2,5,0,0.20937728812353,0.314777927549194
"16","10B",2,6,0,0.212248233865003,0.340010515857811
"17","10B",2,7,0,0.215123466997871,0.366184100238515
"18","10B",2,8,0,0.218049874913658,0.392541117015127
"19","10B",2,9,0,0.221009001302377,0.417896963981019
"20","10B",2,10,0,0.223791205432416,0.441913390822898
"21","10B",2,11,0,0.226213372194656,0.464748038385302
"22","10B",2,12,0,0.228541996705424,0.487371851837155
"23","10B",2,13,0,0.231278143869003,0.511338653966863
"24","10B",2,14,0,0.235028607409854,0.53871563011871
"25","10B",3,1,0.257757565263448,0.288268917377275,0.310455203941825
"26","10B",3,2,0.227464398274616,0.292245418106001,0.338651673481274
"27","10B",3,3,0.192822519427101,0.29583702680869,0.365175479985009
"28","10B",3,4,0.150546278613572,0.299096297550229,0.390513718511087
"29","10B",3,5,0.0902837290671986,0.30211377924657,0.415138215763282
"30","10B",3,6,0,0.30506880026138,0.439726830268018
"31","10B",3,7,0,0.308140964299678,0.464814475092273
"32","10B",3,8,0,0.311241642319829,0.489820846583023
"33","10B",3,9,0,0.314220569405083,0.51407879567741
"34","10B",3,10,0,0.317188392141271,0.538562673623461
"35","10B",3,11,0,0.320339651936178,0.564482942567155
"36","10B",3,12,0,0.323649449653691,0.591052850492798
"37","10B",3,13,0,0.326962400513239,0.616781728329359
"38","10B",3,14,0,0.330052540148107,0.640780897787817
"39","10B",3,15,0,0.332718541548378,0.662766872803756
"40","10B",3,16,0,0.335071910136032,0.684674359496996
"41","10B",3,17,0,0.337389803425855,0.709544340268956
"42","10B",3,18,0,0.340012756719823,0.740962168530345
"43","10B",4,1,0.359962334907421,0.384948041886596,0.401712070760298
"44","10B",4,2,0.328974722173911,0.389628878789175,0.430993382363452
"45","10B",4,3,0.296475999125081,0.393751270905238,0.457723000766933
"46","10B",4,4,0.26136326867905,0.397397576828723,0.482721230638561
"47","10B",4,5,0.220988587135886,0.400706873552602,0.506922751872982
"48","10B",4,6,0.167322862084945,0.403949239879915,0.531894090383839
"49","10B",4,7,0.0685848336981564,0.407384696436492,0.558802182532975
"50","10B",4,8,0,0.410838006815107,0.585831233245459
"51","10B",4,9,0,0.414022022794869,0.610828483450366
"52","10B",4,10,0,0.417071330681195,0.634947830584905
"53","10B",4,11,0,0.420253958266026,0.660022883941501
"54","10B",4,12,0,0.423609393128477,0.68596625311531
"55","10B",4,13,0,0.427092114554387,0.712223765628699
"56","10B",4,14,0,0.430656057494952,0.73889088830722
"57","10B",4,15,0,0.434249437077092,0.766094287973827
"58","10B",4,16,0,0.437771553276638,0.79311895780013
"59","10B",4,17,0,0.441132744629868,0.819061714184948
"60","10B",4,18,0,0.444482950506185,0.843843502841587
"61","10B",4,19,0,0.448060623211487,0.867607548563588
"62","10B",4,20,0,0.452083622502817,0.890316988160483
"63","10B",5,1,0.460461081531641,0.485726557872345,0.504508422977447
"64","10B",5,2,0.431058455018489,0.490689208093405,0.530175610826629
"65","10B",5,3,0.400164083429129,0.495137417151144,0.555686978318535
"66","10B",5,4,0.366847731932385,0.499181444404213,0.581184395738908
"67","10B",5,5,0.329551560115195,0.502950817654692,0.606794240465245
"68","10B",5,6,0.285095116986461,0.506646869624056,0.63266698759243
"69","10B",5,7,0.227350926036403,0.510428609668989,0.65887958659677
"70","10B",5,8,0.142270949154364,0.51414107878304,0.685240869860905
"71","10B",5,9,0,0.517612659101615,0.711600006276328
"72","10B",5,10,0,0.521042526813212,0.738305230883415
"73","10B",5,11,0,0.524683267183193,0.765619896549201
"74","10B",5,12,0,0.528471389806407,0.792811465241762
"75","10B",5,13,0,0.53227977186705,0.819274789244108
"76","10B",5,14,0,0.536219537208237,0.846554806053365
"77","10B",5,15,0,0.540419859903099,0.876028442218256
"78","10B",5,16,0,0.544537739665491,0.90479554291855
"79","10B",5,17,0,0.548128346991529,0.929734089130068
"80","10B",5,18,0,0.551428647303146,0.953999827894905
"81","10B",5,19,0,0.554935921878769,0.981706863123254
"82","10B",5,20,0,0.558924062189526,1
"83","10B",5,21,0,0.563563063799859,1
"84","10B",5,22,0,0.569030461241881,1
"85","10B",6,1,0.557497804375432,0.58923481026072,0.608029176906584
"86","10B",6,2,0.533520846480568,0.593372216737654,0.629116393142686
"87","10B",6,3,0.50523425815464,0.597719304265015,0.653105483009555
"88","10B",6,4,0.472171929834454,0.602205279100156,0.679236132798585
"89","10B",6,5,0.433829752653772,0.606722432999139,0.706728705827465
"90","10B",6,6,0.390040512528052,0.611073721328251,0.734671828627368
"91","10B",6,7,0.340452949425893,0.615076248396504,0.762191834537778
"92","10B",6,8,0.281664867944505,0.618814468271403,0.788854673664204
"93","10B",6,9,0.203277880349803,0.62245801598597,0.814733120647541
"94","10B",6,10,0.0221212296852221,0.626237283884009,0.841760776523772
"95","10B",6,11,0,0.6303530590828,0.871653929579501
"96","10B",6,12,0,0.634578526159992,0.902431356851028
"97","10B",6,13,0,0.638622285991501,0.931824362983684
"98","10B",6,14,0,0.642764082267254,0.961639574323656
"99","10B",6,15,0,0.647388590141296,0.99404733767638
"100","10B",6,16,0,0.65229359172903,1
"101","10B",6,17,0,0.657068732190398,1
"102","10B",6,18,0,0.661519669545998,1
